====================================================================================================
run_start_time: 2026-05-06 03:23:39
script: run_nerf_mofasgd.py
expname: fern_100k_mflr3e-3
dataset_type: llff
datadir: ./data/nerf_llff_data/fern
resume_start_step: 0
optimizer_setup:
  optimizer_main: MoFaSGD
  mofa_lr_init: 0.003
  mofa_rank: 64
  mofa_beta: 0.95
  mofa_weight_decay: 0.0
  mofa_eta1: 1.0
  mofa_eta2: 0.0
  mofa_eps: 0.0001
  mofa_use_reciprocal_s: False
  mofa_use_current_projection: False
  mofa_nesterov: False
  optimizer_aux: Adam
  aux_adam_lr_init: 0.0005
  aux_adam_betas: (0.9, 0.999)
  lrate_decay_ksteps: 250
  mofa_tensor_count: 20
  adam_tensor_count: 28
  mofa_total_params: 1185536
  adam_total_params: 6152
train_psnr_log:
iter=15500 global_step=15499 loss=0.0070719430 psnr=24.745630 mofa_lr=2.60090958e-03 adam_lr=4.33484930e-04
iter=15600 global_step=15599 loss=0.0105461236 psnr=23.005169 mofa_lr=2.59851516e-03 adam_lr=4.33085860e-04
iter=15700 global_step=15699 loss=0.0079793958 psnr=24.283689 mofa_lr=2.59612294e-03 adam_lr=4.32687157e-04
iter=15800 global_step=15799 loss=0.0080049746 psnr=23.989445 mofa_lr=2.59373292e-03 adam_lr=4.32288821e-04
iter=15900 global_step=15899 loss=0.0062291580 psnr=25.158569 mofa_lr=2.59134511e-03 adam_lr=4.31890851e-04
iter=16000 global_step=15999 loss=0.0085467212 psnr=24.019005 mofa_lr=2.58895949e-03 adam_lr=4.31493248e-04
iter=16100 global_step=16099 loss=0.0077880248 psnr=24.403599 mofa_lr=2.58657607e-03 adam_lr=4.31096011e-04
iter=16200 global_step=16199 loss=0.0073929313 psnr=24.612783 mofa_lr=2.58419484e-03 adam_lr=4.30699140e-04
iter=16300 global_step=16299 loss=0.0092623159 psnr=23.547731 mofa_lr=2.58181580e-03 adam_lr=4.30302634e-04
iter=16400 global_step=16399 loss=0.0092745358 psnr=23.605703 mofa_lr=2.57943896e-03 adam_lr=4.29906493e-04
iter=16500 global_step=16499 loss=0.0080731008 psnr=24.176437 mofa_lr=2.57706430e-03 adam_lr=4.29510717e-04
iter=16600 global_step=16599 loss=0.0089037241 psnr=23.850031 mofa_lr=2.57469183e-03 adam_lr=4.29115305e-04
iter=16700 global_step=16699 loss=0.0077755977 psnr=24.609213 mofa_lr=2.57232154e-03 adam_lr=4.28720257e-04
iter=16800 global_step=16799 loss=0.0075687729 psnr=24.469160 mofa_lr=2.56995344e-03 adam_lr=4.28325573e-04
iter=16900 global_step=16899 loss=0.0070333523 psnr=24.672426 mofa_lr=2.56758751e-03 adam_lr=4.27931252e-04
iter=17000 global_step=16999 loss=0.0079111513 psnr=24.195387 mofa_lr=2.56522377e-03 adam_lr=4.27537294e-04
iter=17100 global_step=17099 loss=0.0080419797 psnr=24.400187 mofa_lr=2.56286219e-03 adam_lr=4.27143699e-04
iter=17200 global_step=17199 loss=0.0089502726 psnr=23.741184 mofa_lr=2.56050280e-03 adam_lr=4.26750466e-04
iter=17300 global_step=17299 loss=0.0069791935 psnr=25.031984 mofa_lr=2.55814557e-03 adam_lr=4.26357596e-04
iter=17400 global_step=17399 loss=0.0087101264 psnr=23.840982 mofa_lr=2.55579052e-03 adam_lr=4.25965086e-04
iter=17500 global_step=17499 loss=0.0076346286 psnr=24.159096 mofa_lr=2.55343763e-03 adam_lr=4.25572939e-04
iter=17600 global_step=17599 loss=0.0079278545 psnr=24.417004 mofa_lr=2.55108691e-03 adam_lr=4.25181152e-04
iter=17700 global_step=17699 loss=0.0084040305 psnr=23.990223 mofa_lr=2.54873836e-03 adam_lr=4.24789726e-04
iter=17800 global_step=17799 loss=0.0076610129 psnr=24.513502 mofa_lr=2.54639196e-03 adam_lr=4.24398660e-04
iter=17900 global_step=17899 loss=0.0071221860 psnr=24.523914 mofa_lr=2.54404773e-03 adam_lr=4.24007955e-04
iter=18000 global_step=17999 loss=0.0086685875 psnr=23.984968 mofa_lr=2.54170565e-03 adam_lr=4.23617609e-04
iter=18100 global_step=18099 loss=0.0072486536 psnr=24.551004 mofa_lr=2.53936573e-03 adam_lr=4.23227622e-04
iter=18200 global_step=18199 loss=0.0078817494 psnr=24.171448 mofa_lr=2.53702797e-03 adam_lr=4.22837995e-04
iter=18300 global_step=18299 loss=0.0077987653 psnr=24.344921 mofa_lr=2.53469235e-03 adam_lr=4.22448726e-04
iter=18400 global_step=18399 loss=0.0078457389 psnr=24.440710 mofa_lr=2.53235889e-03 adam_lr=4.22059815e-04
iter=18500 global_step=18499 loss=0.0087866886 psnr=23.933138 mofa_lr=2.53002758e-03 adam_lr=4.21671263e-04
iter=18600 global_step=18599 loss=0.0075578070 psnr=24.269201 mofa_lr=2.52769841e-03 adam_lr=4.21283068e-04
iter=18700 global_step=18699 loss=0.0077231494 psnr=24.450802 mofa_lr=2.52537138e-03 adam_lr=4.20895230e-04
iter=18800 global_step=18799 loss=0.0073404070 psnr=24.386534 mofa_lr=2.52304650e-03 adam_lr=4.20507750e-04
iter=18900 global_step=18899 loss=0.0084098959 psnr=24.140369 mofa_lr=2.52072376e-03 adam_lr=4.20120626e-04
iter=19000 global_step=18999 loss=0.0074445447 psnr=24.429621 mofa_lr=2.51840315e-03 adam_lr=4.19733859e-04
iter=19100 global_step=19099 loss=0.0080930106 psnr=24.321342 mofa_lr=2.51608469e-03 adam_lr=4.19347448e-04
iter=19200 global_step=19199 loss=0.0079437634 psnr=24.447725 mofa_lr=2.51376835e-03 adam_lr=4.18961392e-04
iter=19300 global_step=19299 loss=0.0076290574 psnr=24.270035 mofa_lr=2.51145415e-03 adam_lr=4.18575692e-04
iter=19400 global_step=19399 loss=0.0064437403 psnr=25.165651 mofa_lr=2.50914208e-03 adam_lr=4.18190347e-04
iter=19500 global_step=19499 loss=0.0067745084 psnr=24.890192 mofa_lr=2.50683214e-03 adam_lr=4.17805357e-04
iter=19600 global_step=19599 loss=0.0078991605 psnr=24.455751 mofa_lr=2.50452433e-03 adam_lr=4.17420721e-04
iter=19700 global_step=19699 loss=0.0078029293 psnr=24.248369 mofa_lr=2.50221864e-03 adam_lr=4.17036440e-04
