====================================================================================================
run_start_time: 2026-05-06 03:23:39
script: run_nerf_mofasgd.py
expname: fortress_100k_mflr3e-3
dataset_type: llff
datadir: ./data/nerf_llff_data/fortress
resume_start_step: 0
optimizer_setup:
  optimizer_main: MoFaSGD
  mofa_lr_init: 0.003
  mofa_rank: 64
  mofa_beta: 0.95
  mofa_weight_decay: 0.0
  mofa_eta1: 1.0
  mofa_eta2: 0.0
  mofa_eps: 0.0001
  mofa_use_reciprocal_s: False
  mofa_use_current_projection: False
  mofa_nesterov: False
  optimizer_aux: Adam
  aux_adam_lr_init: 0.0005
  aux_adam_betas: (0.9, 0.999)
  lrate_decay_ksteps: 250
  mofa_tensor_count: 20
  adam_tensor_count: 28
  mofa_total_params: 1185536
  adam_total_params: 6152
train_psnr_log:
iter=9200 global_step=9199 loss=0.0044893846 psnr=26.911068 mofa_lr=2.75629219e-03 adam_lr=4.59382032e-04
iter=9300 global_step=9299 loss=0.0040645087 psnr=27.517290 mofa_lr=2.75375472e-03 adam_lr=4.58959120e-04
iter=9400 global_step=9399 loss=0.0049362867 psnr=26.325716 mofa_lr=2.75121959e-03 adam_lr=4.58536598e-04
iter=9500 global_step=9499 loss=0.0038137238 psnr=27.839157 mofa_lr=2.74868679e-03 adam_lr=4.58114464e-04
iter=9600 global_step=9599 loss=0.0042762081 psnr=27.567223 mofa_lr=2.74615632e-03 adam_lr=4.57692720e-04
iter=9700 global_step=9699 loss=0.0044972608 psnr=26.855766 mofa_lr=2.74362818e-03 adam_lr=4.57271363e-04
iter=9800 global_step=9799 loss=0.0049952138 psnr=26.780338 mofa_lr=2.74110237e-03 adam_lr=4.56850395e-04
iter=9900 global_step=9899 loss=0.0044132518 psnr=26.675627 mofa_lr=2.73857888e-03 adam_lr=4.56429814e-04
iter=10000 global_step=9999 loss=0.0040761111 psnr=27.545538 mofa_lr=2.73605772e-03 adam_lr=4.56009620e-04
iter=10100 global_step=10099 loss=0.0043166429 psnr=26.790442 mofa_lr=2.73353888e-03 adam_lr=4.55589813e-04
iter=10200 global_step=10199 loss=0.0036937760 psnr=27.779854 mofa_lr=2.73102235e-03 adam_lr=4.55170392e-04
iter=10300 global_step=10299 loss=0.0039121360 psnr=27.758488 mofa_lr=2.72850815e-03 adam_lr=4.54751358e-04
iter=10400 global_step=10399 loss=0.0042204875 psnr=27.217110 mofa_lr=2.72599625e-03 adam_lr=4.54332709e-04
iter=10500 global_step=10499 loss=0.0044795228 psnr=27.243200 mofa_lr=2.72348667e-03 adam_lr=4.53914446e-04
iter=10600 global_step=10599 loss=0.0038800430 psnr=27.878254 mofa_lr=2.72097941e-03 adam_lr=4.53496568e-04
iter=10700 global_step=10699 loss=0.0040183272 psnr=27.540686 mofa_lr=2.71847444e-03 adam_lr=4.53079074e-04
iter=10800 global_step=10799 loss=0.0043105581 psnr=27.386482 mofa_lr=2.71597179e-03 adam_lr=4.52661965e-04
iter=10900 global_step=10899 loss=0.0041517797 psnr=27.628126 mofa_lr=2.71347144e-03 adam_lr=4.52245240e-04
iter=11000 global_step=10999 loss=0.0043711225 psnr=27.240768 mofa_lr=2.71097339e-03 adam_lr=4.51828898e-04
iter=11100 global_step=11099 loss=0.0037710287 psnr=27.746246 mofa_lr=2.70847764e-03 adam_lr=4.51412940e-04
iter=11200 global_step=11199 loss=0.0040884060 psnr=27.488516 mofa_lr=2.70598419e-03 adam_lr=4.50997365e-04
iter=11300 global_step=11299 loss=0.0040928745 psnr=27.251041 mofa_lr=2.70349303e-03 adam_lr=4.50582172e-04
iter=11400 global_step=11399 loss=0.0034941460 psnr=28.197193 mofa_lr=2.70100417e-03 adam_lr=4.50167362e-04
